time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,dot_phi,dot_theta,dot_psi
7.849999999999877,-0.011554623022675514,0.03880608081817627,1.3802258968353271,-0.04131155242175574,-0.023415498889496938,0.11296274833122685,0.005200587209193984,0.010719725204072213,-0.001193478257009229,-0.05810679495334625,-0.10531003028154373,-0.03771971538662909,-0.05851702107087076,-0.1051124423864361,-0.0382690756064686
7.859999999999877,-0.01196249295026064,0.03868890926241875,1.380859136581421,-0.035536900058640825,-0.0038202991049778017,0.11255132386440937,0.005200587209193984,0.010719725204072213,-0.001193478257009229,-0.05810679495334625,-0.10531003028154373,-0.03771971538662909,-0.05851702107087076,-0.1051124423864361,-0.0382690756064686
7.869999999999877,-0.012459573335945606,0.03877446427941322,1.3816131353378296,-0.030747648049619884,-0.010215203423741078,0.11351325071507702,0.004144634658720876,0.009002799144566438,-0.0018326242752507184,-0.08211972564458847,-0.07982717454433441,-0.028960976749658574,-0.08238343899447034,-0.07970645658552138,-0.02929276861850375
7.879999999999876,-0.012852572835981846,0.0386924184858799,1.382267951965332,-0.028748051535838787,-0.035416587727372856,0.1137987907574743,0.004144634658720876,0.009002799144566438,-0.0018326242752507184,-0.08211972564458847,-0.07982717454433441,-0.028960976749658574,-0.08238343899447034,-0.07970645658552138,-0.02929276861850375
7.889999999999876,-0.013204313814640045,0.03879706934094429,1.3826305866241455,-0.027629304600248004,-0.01366254308750782,0.11105977466237874,0.0036832704538787417,0.00791643755890121,-0.0020261909195181263,0.030154133215546608,-0.05886540189385414,0.007889457978308208,0.030214874046320745,-0.058894061537884346,0.0076728281837189815
7.899999999999876,-0.013574321754276752,0.03888194262981415,1.3831250667572021,-0.02400533597918527,-0.014936932702338038,0.11642809968617718,0.004451915591962954,0.006840786052560494,-0.0021469242745779833,0.06675450503826141,-0.10542240738868713,0.004482595715671791,0.06678195905402262,-0.10544131874978577,0.004013315089241388
7.909999999999876,-0.01397970411926508,0.0388503260910511,1.3836749792099,-0.028815627019353786,-0.025295691577810833,0.11376325791517837,0.004451915591962954,0.006840786052560494,-0.0021469242745779833,0.06675450503826141,-0.10542240738868713,0.004482595715671791,0.06678195905402262,-0.10544131874978577,0.004013315089241388
7.919999999999876,-0.01397970411926508,0.0388503260910511,1.3836749792099,-0.028815627019353786,-0.025295691577810833,0.11376325791517837,0.004451915591962954,0.006840786052560494,-0.0021469242745779833,0.06675450503826141,-0.10542240738868713,0.004482595715671791,0.06678195905402262,-0.10544131874978577,0.004013315089241388
7.929999999999875,-0.014365547336637974,0.03879087418317795,1.3842909336090088,-0.039559378744483994,-0.029630267016295904,0.11007649315631467,0.004949619125601684,0.0060537496222885815,-0.0025714218471342924,0.016720067709684372,-0.10235591977834702,-0.0011509474134072536,0.016710033169809936,-0.10234896925784215,-0.001657584438003545
7.939999999999875,-0.014737475663423538,0.03870547562837601,1.3848084211349487,-0.032177292503005425,-0.024025241138368212,0.11249894151870285,0.004949619125601684,0.0060537496222885815,-0.0025714218471342924,0.016720067709684372,-0.10235591977834702,-0.0011509474134072536,0.016710033169809936,-0.10234896925784215,-0.001657584438003545
7.949999999999875,-0.015204284340143204,0.03862728551030159,1.385391354560852,-0.024666539733751547,-0.025432174927291395,0.11055637461004397,0.005075293239011759,0.004689324741596484,-0.002872648403172229,0.006642801221460104,0.005310566164553163,-0.02433835156261921,0.00652879781091667,0.0054340215091543504,-0.024311352837499793
7.959999999999875,-0.0156071987003088,0.03852797672152519,1.3859456777572632,-0.023072281423495322,-0.040603941092524784,0.11175456214007011,0.005075293239011759,0.004689324741596484,-0.002872648403172229,0.006642801221460104,0.005310566164553163,-0.02433835156261921,0.00652879781091667,0.0054340215091543504,-0.024311352837499793
