time,xi_x,xi_y,xi_z,d_var_theta_x,d_var_theta_y,d_var_theta_z,var_theta_x,var_theta_y,var_theta_z,d_sigma_x,d_sigma_y,d_sigma_z,sigma_x,sigma_y,sigma_z,delta_x,delta_y,delta_z
0.0,0.029963177569116067,-0.014417383711836087,-0.0920514458272429,-0.8332291476108319,1.1872700653475943,1.2039122206900243,-0.00833229147610832,0.011872700653475943,0.012039122206900245,-3.452159330988535,-3.4690834202609504,-3.389921796762427,0.9654784066901146,0.9653091657973905,0.9661007820323757,-1.0777662924877873,0.9402807598633608,1.2101386454179277
0.01,0.02163088609300775,-0.002544683058360144,-0.08001232362034265,-0.7532041554930361,0.5061640709814561,1.3967993051740009,-0.01586433303103868,0.016934341363290504,0.026007115258640252,-3.333346240120817,-3.3531543424563175,-3.2766970653061813,0.9321449442889065,0.9317776223728272,0.9333338113793139,-1.003992979826554,0.2528596340923788,1.152622386621632
0.02,0.014098844538077387,0.0025169576514544167,-0.06604433056860265,-0.6211345505539667,0.012088770917740993,1.3665461163383563,-0.022075678536578346,0.017055229072467915,0.03967257642202382,-3.2190669581371183,-3.2296070880640517,-3.1699103519199814,0.8999542747075353,0.8994815514921868,0.9016347078601141,-0.8726819583617225,-0.24198194875256954,1.0919850683010903
0.03,0.00836842986699516,0.0023173204531097384,-0.05027944455420094,-0.3900094535421121,0.03885764878205561,1.3449019630333616,-0.025975773071999466,0.01744380556028847,0.05312159605235744,-3.107553277190169,-3.1110159421386743,-3.0691709359679686,0.8688787419356336,0.8683713920708,0.8709429985004344,-0.6460138132691847,-0.21634750425432747,1.0279419921416244
0.04,0.004468335331574039,0.002705896940930295,-0.03683042492386732,-0.1279735052101767,0.01201743894602711,1.251963153815009,-0.027255508124101234,0.017563979949748742,0.06564122759050753,-2.997508870652188,-2.9968106195791826,-2.9701548254213885,0.8389036532291118,0.8384032858750082,0.8412414502462205,-0.38315079901622234,-0.24236313302823378,0.9676905396842866
0.05,0.0031886002794722715,0.002826071330390565,-0.024310793385717233,-0.01875093632483238,0.009662896805181537,1.1624978135466009,-0.027443017487349557,0.017660608917800556,0.07726620572597354,-2.8888283696614114,-2.8872073520558263,-2.8744093923529883,0.8100153695324976,0.8095312123544499,0.8124973563226907,-0.2734211715881837,-0.24421214004659006,0.8982652023496132
0.06,0.0034509782866628744,0.0027553338038401026,-0.010201112896200473,-0.02364164701891397,0.026576151848859864,0.9582294321272721,-0.027679433957538697,0.017926370436289155,0.08684850004724626,-2.783346450378796,-2.781988948584721,-2.7856761381741184,0.7821819050287097,0.7817113228686027,0.7846405949409495,-0.28446883294179104,-0.23071177126637815,0.6608728240139496
0.07,0.0032145618164737336,0.0030210953223287016,-0.0006188185749277514,0.007776614285173844,0.018725860139759215,0.5360444664491036,-0.02760166781468696,0.018113629037686745,0.0922089447117373,-2.682283197617023,-2.680687548129637,-2.692173965069048,0.7553590730525395,0.7549044473873063,0.7577188552902591,-0.257848334513881,-0.24329527972821988,0.05293717442589196
0.08,0.003292327959325471,0.0032083539237262922,0.004741626089563286,0.025454600720971665,0.0277940875077185,0.7056542384914224,-0.027347121807477243,0.01839156991276393,0.09926548709665152,-2.5849521346661484,-2.5833563835575393,-2.5924535076193593,0.729509551705878,0.7290708835517309,0.7317943202140654,-0.2550690180636795,-0.2489252848884937,-0.35427150217029085
0.09,0.0035468739665351877,0.0034862947988034774,0.01179816847447751,0.026341766800170197,0.026665951588281223,0.8052540382946853,-0.027083704139475542,0.01865822942864674,0.10731802747959837,-2.491275755963305,-2.489730192181338,-2.4909777781005347,0.7045967941462449,0.7041735816299175,0.7068845424330601,-0.26426415439222994,-0.2600000821778604,-0.6450191655408848
0.1,0.003949979542115616,0.003532894808684156,-0.0303945479959864,0.09363452024337743,0.050356164486880906,2.5166255077743185,-0.02614735893704177,0.019161791073515552,0.13248428255734157,-2.4011005720335237,-2.399860518191691,-2.38057485159374,0.6805857884259097,0.6801749764480006,0.6830787939171227,-0.28186307232049673,-0.25471937244311843,0.7873635797517406
0.11,0.004886324744549388,0.004036456453552967,-0.005228292918243199,-0.009224085324917086,-0.018577818263031842,0.3531712433250821,-0.02623959979029094,0.018976012890885234,0.1360159949905924,-2.3139409231694774,-2.3131319683775677,-2.3226098641410955,0.6574463791942149,0.6570436567642249,0.6598526952757117,-0.328540678463434,-0.27800470167496993,0.34899708955180575
0.12,0.004794083891300219,0.0038506782709226486,-0.0016965804849923827,0.02046457378308658,0.012814227626785246,0.5565142757048982,-0.026034954052460074,0.019104155167153088,0.14158113774764136,-2.230931091003622,-2.2302103129141435,-2.2414139081266087,0.6351370682841787,0.6347415536350836,0.6374385561944456,-0.31292924471151184,-0.2580508001640047,0.12008634208576704
0.13,0.004603077700928503,0.0034343682097507586,-0.03411681138042835,0.6138860984839911,0.18294815421355598,1.3379228647504804,-0.019896093067620163,0.020933636709288647,0.15496036639514615,-2.1511760304276146,-2.1506067257247095,-2.127349115682877,0.6136253079799026,0.6132354863778364,0.6161650650376168,-0.29258317481531715,-0.22527996420620777,0.7279864807073405
0.14,0.010741938685768414,0.005263849751886318,-0.02073758273292356,0.30798277555288445,0.0565887523765104,0.3919830855808584,-0.01681626531209132,0.021499524233053752,0.15888019725095473,-2.067790721309959,-2.0723563203581365,-2.06526146195202,0.592947400766803,0.592511923174255,0.5955124504180966,-0.5221616884738994,-0.3172648608765064,0.6585940664857249
0.15,0.013821766441297258,0.005829737275651423,-0.016817751877114984,0.2747592837639824,0.045270246593544894,0.47896667467268056,-0.014068672474451495,0.0219522266989892,0.16366986399768155,-1.9903913764258299,-1.9979642898338907,-1.9960164184462381,0.5730434870025447,0.5725322802759162,0.5755522862336343,-0.5673776843216112,-0.33398444655290294,0.6078505137468488
0.16,0.01656935927893708,0.0062824397415868725,-0.012028085130388166,0.26305499547725686,0.03847228140225806,0.45253878092716254,-0.011438122519678927,0.02233694951301178,0.16819525180695316,-1.9163801797283155,-1.9264721836645897,-1.9306622619096174,0.5538796852052615,0.5532675584392703,0.5562456636145381,-0.5843921153568925,-0.3431739477478324,0.5204386270099473
0.17,-0.004443936963866836,0.0013385344859345345,-0.09977765439407821,1.7227630281753121,0.47547796583056556,0.7182528094181546,0.005789507762074195,0.027091729171317434,0.1753777799011347,-1.86193409528405,-1.8614409677100772,-1.772397391371033,0.5352603442524211,0.5346531487621695,0.5385216897008278,0.24988178202896924,-0.08135874385822918,0.7813824011890447
0.18,0.012783693317886285,0.006093314144240188,-0.09259512629989666,0.8001862279931746,0.17718465129582517,-0.45313110877624774,0.013791370042005941,0.028863575684275687,0.17084646881337223,-1.786930603449128,-1.7924144359725251,-1.7168135027946556,0.5173910382179298,0.5167290044024443,0.5213535546728812,-0.5002949032605466,-0.31447271666735144,0.7497194854755642
0.19,0.020785555597818032,0.007865160657198441,-0.09712643738765914,0.7743072057249349,0.13752586788981408,-0.21699509094131098,0.021534442099255292,0.030238834363173827,0.16867651790395913,-1.7146138538845632,-1.7272602127181536,-1.6516157986853341,0.5002448996790841,0.4994564022752628,0.5048373966860279,-0.563158135426518,-0.3681141268069797,0.7413563577799913
0.2,-0.02544459986631683,-0.0034467350068863624,-0.14416049737418976,2.0643912304624847,0.7322698669489243,-0.13999303274080876,0.04217835440388014,0.03756153303266307,0.16727658757655103,-1.649200323289041,-1.6704144989474945,-1.5463441118071877,0.48375289644619374,0.48275225728578786,0.48937395556795604,0.5666541135500138,0.181153945519975,0.8144042112045202
0.21,-0.0048006875616919825,0.0038759636626028784,-0.14556042770159786,1.6054764014139322,0.30879480957113903,-0.9090289390813411,0.05823311841801946,0.04064948112837446,0.15818629818573762,-1.6141982792392606,-1.6113949450017822,-1.4905319475424599,0.46761091365380114,0.46663830783577004,0.4744686360925314,0.23577844236984247,-0.19520615594081295,0.8015667958224595
0.22,0.011254076452447338,0.006963911758314269,-0.15465071709241127,0.9687204260678315,0.20245610739652525,-0.814557244125871,0.06792032267869777,0.04267404220233971,0.1500407257444789,-1.55059412968846,-1.5521022916155605,-1.4290993288099152,0.45210497235691655,0.45111728491961445,0.4601776428044323,-0.41661731105734495,-0.3072998745268865,0.8036700561463876
