time,d_delta_x,d_delta_y,d_delta_z,delta_x,delta_y,delta_z
0.36,-0.02968950973921064,0.007665524598754067,0.032313180199269945,-0.1254619820853036,-0.036281033483403634,-0.028608005405033027
0.37,0.05221384230515469,0.0385576413496434,0.04562660883703332,-0.12493984366225205,-0.0358954570699072,-0.028151739316662695
0.38,0.050965492696860515,0.03757865008024766,0.04445800544147656,-0.12443018873528344,-0.03551967056910472,-0.02770715926224793
0.39,0.04974668309147401,0.03662413330226233,0.04331870324789584,-0.1239327219043687,-0.03515342923608209,-0.02727397222976897
0.4,0.10877993960908772,0.05957093586556722,-0.018893963602162223,-0.12284492250827782,-0.03455771987742642,-0.027462911865790595
0.41000000000000003,0.10617688224197658,0.05805643101510158,-0.018409440678386485,-0.12178315368585806,-0.0339771555672754,-0.02764700627257446
0.42,0.10363477159383377,0.0565794940890839,-0.017937452757943867,-0.12074680596991971,-0.03341136062638456,-0.0278263808001539
0.43,0.14864168895621932,0.07539695030426269,-0.08198811148392002,-0.11926038908035752,-0.032657391123341935,-0.028646261914993098
0.44,0.1450787956477294,0.07347628079300852,-0.07988783578394941,-0.11780960112388023,-0.03192262831541185,-0.02944514027283259
0.45,0.14159874569794878,0.07160298146098115,-0.07784337209895922,-0.11639361366690074,-0.03120659850080204,-0.030223573993822184
0.46,0.19104539495242912,0.06944417201153952,-0.15209934205352277,-0.11448315971737645,-0.030512156780686646,-0.03174456741435741
0.47000000000000003,0.18645553401191056,0.06767077917270489,-0.14821574036868623,-0.11261860437725735,-0.029835448988959595,-0.03322672481804427
0.48,0.18197160232135667,0.06594129133674151,-0.14443776079866688,-0.11079888835404378,-0.02917603607559218,-0.03467110242603094
0.49,0.17759132010337425,0.06425467258253365,-0.14076203233856574,-0.10902297515301003,-0.028533489349766843,-0.0360787227494166
0.5,0.1775528020003404,0.04660375934192784,-0.1755927815655099,-0.10724744713300663,-0.028067451756347565,-0.037834650565071695
0.51,0.17327084168372542,0.045410013031262006,-0.17113844261810046,-0.10551473871616937,-0.027613351626034944,-0.0395460349912527
0.52,0.16908823077520946,0.04424618629756048,-0.16680476072172623,-0.10382385640841728,-0.027170889763059338,-0.04121408259846996
0.53,0.16500281389676724,0.03223075628927562,-0.1755810569340292,-0.10217382826944961,-0.02684858220016658,-0.042969893167810254
0.54,0.16101247705583455,0.03140384829339289,-0.17114964103151037,-0.10056370349889127,-0.026534543717232652,-0.044681389578125355
0.55,0.15711514703333151,0.03059783117765498,-0.1668371062649356,-0.09899255202855795,-0.0262285654054561,-0.04634976064077471
0.56,0.15330879077458967,0.029812191289717085,-0.1626397523977916,-0.09745946412081205,-0.025930443492558932,-0.047976158164752626
0.5700000000000001,0.14959141478340834,0.01645096832935697,-0.11281672260356188,-0.09596354997297797,-0.02576593380926536,-0.049104325390788246
0.58,0.1459610645194573,0.016028277948610475,-0.10998605798501551,-0.09450393932778339,-0.025605651029779256,-0.0502041859706384
0.59,0.14241582379923076,0.015616361356966035,-0.10722907562627101,-0.09307978108979109,-0.025449487416209594,-0.05127647672690111
0.6,0.13895381420074848,0.008471959904091567,-0.0319407856295722,-0.0916902429477836,-0.02536476781716868,-0.05159588458319683
0.61,0.13557319447218869,0.00825415672855366,-0.03114134869578103,-0.09033451100306172,-0.025282226249883143,-0.051907298070154644
0.62,0.13227215994462932,0.008041929731027297,-0.030362126821024932,-0.08901178940361543,-0.02520180695257287,-0.05221091933836489
0.63,0.1290489419490636,0.003116859843247888,0.035908910353020754,-0.08772129998412478,-0.025170638354140393,-0.05185183023483469
0.64,0.12590180723784697,0.0030367061490059605,0.0350106041495792,-0.08646228191174632,-0.025140271292650333,-0.0515017241933389
0.65,0.12282905741072406,0.002958610536092657,0.03413451048133574,-0.08523399133763908,-0.025110685187289407,-0.05116037908852554
0.66,0.11982902834557485,0.0028825203181822856,0.033280091889796984,-0.08403570105418333,-0.025081859984107585,-0.05082757816962757
0.67,0.11690008963401194,-0.0013946459465488809,0.1277974605356915,-0.08286670015784321,-0.025095806443573072,-0.049549603564270656
0.68,0.11404064402195102,-0.001358776391352512,0.12459547053249101,-0.0817262937176237,-0.025109394207486598,-0.048303648858945746
0.6900000000000001,0.11124912685527047,-0.0013238300169810119,0.12147031669326389,-0.080613802449071,-0.02512263250765641,-0.04708894569201311
0.7000000000000001,0.08849193207498629,-0.0015580078122866825,0.05888924426800202,-0.07972888312832113,-0.025138212585779276,-0.04650005324933309
0.71,0.08632288650985534,-0.0015179388746662248,0.057409390220177534,-0.07886565426322258,-0.02515339197452594,-0.04592595934713131
0.72,0.08420582205908811,-0.001478901223778084,0.05596597311679523,-0.07802359604263169,-0.02516818098676372,-0.04536629961596336
0.73,0.07088677922248565,-0.0008326927965211783,0.03625508273476796,-0.07731472825040683,-0.025176507914728932,-0.04500374878861568
0.74,0.06914645303614197,-0.0008112787366025137,0.03534269022909177,-0.07662326372004541,-0.025184620702094956,-0.04465032188632476
0.75,0.06744807722160531,-0.0007904156001642126,0.034452968022773506,-0.07594878294782936,-0.025192524858096598,-0.044305792206097025
0.76,0.040544878408461826,0.004422641700031274,0.0385266098199412,-0.07554333416374474,-0.025148298441096284,-0.043920526107897616
0.77,0.0395482133779545,0.004308905930845999,0.03755609770057948,-0.0751478520299652,-0.025105209381787823,-0.04354496513089182
0.78,0.03857579032991382,0.004198088695450478,0.03660969960059206,-0.07476209412666605,-0.02506322849483332,-0.0431788681348859
0.79,0.03762703135421644,0.00409011541951701,0.03568683127505538,-0.07438582381312389,-0.02502232734063815,-0.04282199982213535
0.8,0.009466177602699022,0.013190513883388336,0.07977410247845962,-0.0742911620370969,-0.024890422201804267,-0.04202425879735076
0.81,0.00923326430353949,0.012851201430944953,0.07776135423632001,-0.07419882939406151,-0.024761910187494816,-0.04124664525498756
0.8200000000000001,0.009006067576261961,0.012520560343575696,0.0757979148255347,-0.0741087687182989,-0.02463670458405906,-0.04048866610673221
0.8300000000000001,-0.004493088265700745,0.0168873471243942,0.10476111274901723,-0.0741536996009559,-0.024467831112815117,-0.03944105497924204
0.84,-0.004382521441800485,0.016452703686882966,0.10211164436339958,-0.07419752481537391,-0.02430330407594629,-0.038419938535608045
0.85,-0.00427467867411449,0.01602915235907469,0.0995265310011455,-0.07424027160211505,-0.02414301255235554,-0.03742467322559659
0.86,-0.03059473924908407,0.027937731127138404,0.039275066255053614,-0.0745462189946059,-0.023863635241084157,-0.03703192256304605
0.87,-0.029841989696694604,0.027218142758840325,0.038279039742973905,-0.07484463889157283,-0.023591453813495755,-0.03664913216561631
0.88,-0.029107908818424788,0.026516825304850937,0.03730788409555445,-0.07513571797975709,-0.023326285560447246,-0.036276053324660766
0.89,-0.028392026076747234,0.02583332643072899,0.03636099534239971,-0.07541963824052456,-0.023067952296139956,-0.035912443371236766
0.9,-0.05097367140627668,0.03903431489469303,-0.00807152510342965,-0.07592937495458732,-0.022677609147193026,-0.035993158622271065
0.91,-0.049720588830156454,0.03802734551549579,-0.007866557275555866,-0.07642658084288888,-0.022297335692038067,-0.03607182419502662
0.92,-0.04849871684438675,0.037045820975603314,-0.007666811117494926,-0.07691156801133274,-0.021926877482282035,-0.03614849230620157
0.93,-0.05742082011646554,0.04144656791855775,-0.01659908736420576,-0.0774857762124974,-0.021512411803096456,-0.03631448317984363
0.9400000000000001,-0.05601066127357554,0.040375614196048806,-0.016177694340607188,-0.07804588282523316,-0.02110865566113597,-0.0364762601232497
0.9500000000000001,-0.0546356420328748,0.03933171207182176,-0.015767069352384713,-0.0785922392455619,-0.020715338540417752,-0.03663393081677355
0.96,-0.05329485996292621,0.038314202817783735,-0.015366933528353124,-0.07912518784519117,-0.020332196512239914,-0.03678760015205708
0.97,-0.06766590381291337,0.04499251919939632,-0.012825286288853557,-0.0798018468833203,-0.01988227132024595,-0.03691585301494561
0.98,-0.06600657820898106,0.04382715913193409,-0.012499907084444373,-0.08046191266541011,-0.01944399972892661,-0.037040852085790055
0.99,-0.06438863555025526,0.04269121185620654,-0.012182824325403532,-0.08110579902091267,-0.019017087610364546,-0.03716268032904409
1.0,-0.0719690318849866,0.04819402322778897,0.009363517549229039,-0.08182548933976254,-0.018535147378086658,-0.0370690451535518
1.01,-0.07020643259425194,0.04694315855231306,0.009126028691402915,-0.08252755366570506,-0.018065715792563528,-0.03697778486663777
1.02,-0.0684877716159411,0.04572383235846464,0.008894541237370629,-0.08321243138186447,-0.01760847746897888,-0.036888839454264064
1.03,-0.07283928618191907,0.04531474436762357,0.03555401620994639,-0.08394082424368367,-0.017155330025302645,-0.036533299292164596
1.04,-0.07105773340007815,0.044135941844368885,0.034651874513947675,-0.08465140157768444,-0.016713970606858957,-0.03618678054702512
1.05,-0.06932053086768611,0.0429869410611172,0.033772302237187996,-0.08534460688636131,-0.016284101196247784,-0.03584905752465324
1.06,-0.07064707481055243,0.036433471954259423,0.07227683635446923,-0.08605107763446683,-0.01591976647670519,-0.03512628916110855
1.07,-0.06892140218080603,0.03548363051682124,0.07044054021041407,-0.08674029165627489,-0.015564930171536978,-0.03442188375900441
1.08,-0.06723859985891217,0.03455796550553288,0.06864953456470368,-0.08741267765486402,-0.01521935051648165,-0.033735388413357374
1.09,-0.0655975648815634,0.03365588369940731,0.0669027542316316,-0.08806865330367965,-0.014882791679487577,-0.03306636087104106
1.1,-0.06419931717929059,0.028540775776762957,0.081583255871161,-0.08871064647547255,-0.014597383921719947,-0.032250528312329454
1.11,-0.06263370151450678,0.027794875828172264,0.07950412566677596,-0.08933698349061762,-0.014319435163438225,-0.031455487055661695
1.12,-0.061106847141343235,0.027068088340522753,0.07747614318335201,-0.08994805196203105,-0.014048754280032997,-0.030680725623828176
1.1300000000000001,-0.05837038636856967,0.023236214095740813,0.05988679687908932,-0.09053175582571675,-0.013816392139075588,-0.03008185765503728
1.1400000000000001,-0.05694849210047587,0.02262802138605113,0.05835661951518939,-0.0911012407467215,-0.013590111925215077,-0.029498291459885386
1.1500000000000001,-0.055561708766716206,0.022035485572975116,0.05686450238657634,-0.09165685783438866,-0.013369757069485325,-0.028929646436019623
1.16,-0.04901254041440237,0.01801906730934307,0.04846258313964334,-0.09214698323853268,-0.013189566396391895,-0.02844502060462319
1.17,-0.047819772670097044,0.017546829469418802,0.04722180803412415,-0.09262518096523366,-0.013014098101697708,-0.02797280252428195
1.18,-0.04665636223614142,0.017086805289412796,0.046012094932737335,-0.09309174458759507,-0.01284323004880358,-0.027512681574954574
1.19,-0.04552156968855578,0.01663868597058856,0.04483269478022714,-0.09354696028448063,-0.012676843189097694,-0.0270643546271523
1.2,-0.03658348903031783,0.013799449994020947,0.05326200323104863,-0.0939127951747838,-0.012538848689157485,-0.026531734594841816
1.21,-0.03569414332831,0.013437309259024373,0.0518951547233031,-0.09426973660806691,-0.012404475596567242,-0.026012783047608786
1.22,-0.03482659927522416,0.013084573602659945,0.05056249104985801,-0.09461800260081915,-0.012273629860540642,-0.025507158137110207
1.23,-0.029113753867246323,0.011054103472113871,0.05813172518753339,-0.09490914013949162,-0.012163088825819504,-0.024925840885234873
1.24,-0.02840642038959612,0.010763775592054596,0.05663685875827636,-0.09519320434338757,-0.012055451069898958,-0.024359472297652108
1.25,-0.027716386164318263,0.010481008376778553,0.05517932513181839,-0.09547036820503076,-0.011950640986131173,-0.023807679046333925
1.26,-0.015698419122451984,0.008289023951767449,0.045947020275576525,-0.09562735239625528,-0.011867750746613498,-0.02334820884357816
1.27,-0.015317190099497113,0.008071177120021561,0.04476288144982181,-0.09578052429725024,-0.011787038975413283,-0.022900580029079944
1.28,-0.014945252095757894,0.007859018685834482,0.04360853712425572,-0.09592997681820782,-0.011708448788554938,-0.022464494657837387
1.29,-0.014582377061723523,0.0076524018761107565,0.04248326596964326,-0.09607580058882506,-0.011631924769793831,-0.022039661998140954
1.3,-0.0019588774033214296,0.006423972386051042,0.015254750505157642,-0.09609538936285827,-0.01156768504593332,-0.021887114493089378
1.31,-0.001911321556822665,0.0062550298070444925,0.014860715713037743,-0.0961145025784265,-0.011505134747862876,-0.021738507335959
1.32,-0.0018649207408225343,0.0060905076577792636,0.014476775766709062,-0.09613315178583473,-0.011444229671285083,-0.02159373957829191
1.33,0.008484196833555363,0.0072718024461937494,-0.0011852509150392862,-0.09604830981749918,-0.011371511646823146,-0.021605592087442303
