time,out1_obs,out2_obs,out3_obs
0.01,-0.002899027444121555,-0.003623863894550426,0.012928786403796154
0.02,-0.005747461931476485,-0.007174572362019963,0.025316001130216675
0.03,-0.00854460226189254,-0.010655959935446012,0.03720212612456089
0.04,-0.01128894013379386,-0.014065619911827419,0.048632424401538706
0.05,-0.013970569658472725,-0.017395254642582902,0.05963120966505781
0.060000000000000005,-0.016597083709056194,-0.020650893642043464,0.07026035609995711
0.07,-0.019166142806479113,-0.02383279528580961,0.08056047062584965
0.08,-0.02167697658835063,-0.02693566674194058,0.09056528278382
0.09,-0.024129045955757964,-0.02995581198713932,0.10031463230357048
0.09999999999999999,-0.02651713426906975,-0.032891175693424916,0.10983234259018479
0.10999999999999999,-0.028839329914311797,-0.035740816211677594,0.11914667282155034
0.11999999999999998,-0.03108484563572118,-0.03849258932875715,0.128244557424674
0.12999999999999998,-0.033255881735311923,-0.04115127698832462,0.13718384695684824
0.13999999999999999,-0.035347896452387284,-0.04370905027023144,0.14598870842906617
0.15,-0.03735681632386127,-0.046154533454133215,0.1546847139041064
0.16,-0.03927466111122539,-0.0484802386575131,0.1632867103632562
0.17,-0.041097132251470034,-0.05066669141215948,0.1718178454433093
0.18000000000000002,-0.042810212025852966,-0.05269395414559795,0.18029612568127296
0.19000000000000003,-0.044387428051939244,-0.05453230023790509,0.1886781627498617
0.20000000000000004,-0.04579818732449364,-0.056113291908350314,0.1970967472020434
0.21000000000000005,-0.04697473419797818,-0.057260105887154085,0.2054426000135554
0.22000000000000006,-0.04659071102501977,-0.056066928347395115,0.21378955346831807
0.23000000000000007,-0.04548169120415199,-0.05456503651500999,0.22214270158712296
0.24000000000000007,-0.044186753561756,-0.05289093139814666,0.23051566223378667
0.25000000000000006,-0.04277721054882625,-0.051082864247705556,0.23892543880960587
0.26000000000000006,-0.041285390795029235,-0.04917951322482146,0.24738177821429372
0.2700000000000001,-0.0397335446231136,-0.047213530114107255,0.2558231277049148
0.2800000000000001,-0.0381282155029402,-0.045179567352300526,0.26433094944102503
0.2900000000000001,-0.03647791146029022,-0.043096136405249084,0.27290540069276814
0.3000000000000001,-0.03479045572560212,-0.040965218620994476,0.2815617659760901
0.3100000000000001,-0.03307332213638569,-0.038797756522660584,0.2903002474047872
0.3200000000000001,-0.03132163964441467,-0.03661788369845844,0.29912032693300916
0.3300000000000001,-0.029557484862309927,-0.034425211497029186,0.30796341101470853
0.34000000000000014,-0.027762388309186207,-0.03222196527352946,0.3169093106992993
0.35000000000000014,-0.02595961105990636,-0.029998002934852077,0.3259651037778768
0.36000000000000015,-0.024144138844034317,-0.02775678212823502,0.33513457402309327
0.37000000000000016,-0.022318654375306973,-0.02550864282000578,0.3444142891146269
0.38000000000000017,-0.02048698433749472,-0.023254892873075958,0.3538150009854619
0.3900000000000002,-0.018650770324158423,-0.020993994894822537,0.36333398440783093
0.4000000000000002,-0.016814063491560113,-0.018724666359299973,0.37297598080297945
0.4100000000000002,-0.014984824059819705,-0.016465795171250228,0.38267098666740607
0.4200000000000002,-0.01315356250993616,-0.01420190163540244,0.392499042269056
0.4300000000000002,-0.011311822385728839,-0.011935891533351613,0.4024639257069344
0.4400000000000002,-0.009453476576581028,-0.009675496853792947,0.41256883635920116
0.45000000000000023,-0.007588129954511194,-0.007417261602441249,0.42280801138579704
0.46000000000000024,-0.00569810271135549,-0.005182530397283216,0.4331922454986293
0.47000000000000025,-0.003802612862218493,-0.002951987565420299,0.44371534805678564
0.48000000000000026,-0.0019296848755864372,-0.0007440149782054436,0.4543077203776578
0.49000000000000027,-4.686817550059565e-05,0.0014417056841230938,0.4650469589934011
0.5000000000000002,0.0018477227176577318,0.003599807103851946,0.4759431723775039
0.5100000000000002,0.003747102145687674,0.005744371006231279,0.48699806078873925
0.5200000000000002,0.0056542612361216065,0.007863610951919446,0.4982043495265061
0.5300000000000002,0.0075653974399698485,0.009951963076810663,0.5095553097202066
0.5400000000000003,0.009487180032520666,0.012012348271847845,0.521060967861939
0.5500000000000003,0.01140518019865459,0.01404188504809413,0.5327140074883849
0.5600000000000003,0.013324298570585943,0.016045014756230772,0.5445162745504252
0.5700000000000003,0.015203724605040068,0.018016257721158595,0.5563989917802784
0.5800000000000003,0.01709147659072217,0.019964777704446292,0.5684457910929553
0.5900000000000003,0.018972524636406717,0.02188189892373971,0.5806573581533424
0.6000000000000003,0.020857337640558922,0.023776648129548068,0.593034339544456
0.6100000000000003,0.022738963887202014,0.025641791663979438,0.6055688085705587
0.6200000000000003,0.024571726776767822,0.027466450011549667,0.6181875431164954
0.6300000000000003,0.02639179971149572,0.029226318615751305,0.6309665173497719
0.6400000000000003,0.028210044543471133,0.03091651551445362,0.6438982873819056
0.6500000000000004,0.03001930316619045,0.03252293597895524,0.6569758479265887
0.6600000000000004,0.03181991253625461,0.03404903413128822,0.6702174124671262
0.6700000000000004,0.033619833570692474,0.035455798692149945,0.6836073550747847
